block,DW,tau_range,n,p_freeoffset,p_ci95,tau0_freeoffset,tau0_ci95,DW_half,c_quartoffset,c_quartoffset_ci95,c_input,tau0_quartoffset,p_contains_4,tau0_tracks_DWhalf
O2,0.4,"[0.5,4]",71,4.160784475041268,0.7512259439245331,0.10926703836442361,0.6042005182755146,0.2,0.02393998525558722,0.001755502725636065,0.02356194490192345,0.23736975248371545,True,True
O2,0.4,"[1,4]",61,4.21776603041178,1.0812008829487114,0.05894322631021752,0.9062743555267225,0.2,0.024003209849439367,0.0021535518846985506,0.02356194490192345,0.2399693893351937,True,True
O2,0.4,"[0.5,3]",51,4.325251125959291,1.3771978637092213,0.05053097033232604,0.8205154397711213,0.2,0.024277408047739448,0.002911150671819185,0.02356194490192345,0.2421924558678023,True,True
O1,0.6,"[0.5,4]",71,4.164024098318167,0.74925222884039,0.21091291106856008,0.5833496968444959,0.3,0.02395317157010805,0.001774719917667726,0.02356194490192345,0.3373956703672719,True,True
O2,0.6,"[1,4]",61,4.2164517370565475,1.0530043363179487,0.16604856189482603,0.8524848816079845,0.3,0.02401256534132416,0.0021565409961980483,0.02356194490192345,0.3397685561901733,True,True
O2,0.6,"[0.5,3]",51,4.332177613535637,1.365157579353735,0.1551273385138472,0.7775248946541768,0.3,0.024310276391315944,0.0029513247106256846,0.02356194490192345,0.34219621630544866,True,True
O2,0.8,"[0.5,4]",71,4.1683263413410785,0.7506969796305651,0.31186316034841677,0.5655955062770851,0.4,0.023968054052425893,0.0017975248871517646,0.02356194490192345,0.4374537766861127,True,True
O2,0.8,"[1,4]",61,4.215937885672896,1.0286607372456371,0.27239668964810354,0.8037819246970492,0.4,0.0240235520573181,0.0021634418385258563,0.02356194490192345,0.439607100380605,True,True
O2,0.8,"[0.5,3]",51,4.343063929661685,1.365441215279588,0.2577667769213405,0.7428749438742578,0.4,0.024349294543390347,0.0030031082712818863,0.02356194490192345,0.4422857075519171,True,True
