N,tau,m_tau,N_records,W_over_kT_ln2,neglnP_direct,ledger_neglnP_over_N
6,1.5000000000000009,0.6626797003665984,82,82,0.123,0.0015
6,1.550000000000001,0.7555538513114338,94,94,0.14100000000000001,0.0015000000000000002
6,1.600000000000001,0.8578642339402549,107,107,0.1605,0.0015
6,1.650000000000001,0.9702293493067369,121,121,0.1815,0.0015
6,1.700000000000001,1.0932873334186406,136,136,0.20400000000000001,0.0015
6,1.750000000000001,1.227695957237811,153,153,0.2295,0.0015
6,1.8000000000000012,1.374132626680179,171,171,0.2565,0.0015
6,1.8500000000000012,1.533294382615759,191,191,0.28650000000000003,0.0015000000000000002
6,1.9000000000000012,1.705897900868652,213,213,0.3195,0.0015
6,1.9500000000000013,1.8926794922170427,236,236,0.354,0.0014999999999999998
6,2.0000000000000013,2.094395102393201,261,261,0.3915,0.0015
6,2.0500000000000016,2.311820312083483,288,288,0.432,0.0015
6,2.1000000000000014,2.5457503369283256,318,318,0.47700000000000004,0.0015
6,2.1500000000000012,2.7970000275222557,349,349,0.5235,0.0014999999999999998
6,2.2000000000000015,3.0664038694138855,383,383,0.5745,0.0015
6,2.2500000000000018,3.3548159831059077,419,419,0.6285000000000001,0.0015000000000000002
6,2.3000000000000016,3.6631101240550983,457,457,0.6855,0.0015
6,2.3500000000000014,3.992179682672326,499,499,0.7485,0.0015
6,2.4000000000000017,4.342937684322542,542,542,0.8130000000000001,0.0015
