N,norm_error,purity_error,max_entropy_global,T_recurrence,coherence_decay,observable,expected,status
2,5.995204332975845e-15,4.5075054799781356e-14,4.3017325012452496e-14,3.35,revivals,unitarity,0,PASS
4,2.020605904817785e-14,1.0080825063596421e-13,6.714603958598742e-14,3.35,revivals,unitarity,0,PASS
6,1.27675647831893e-14,1.3855583347321954e-13,1.4574212732411744e-13,3.35,revivals,unitarity,0,PASS
8,9.992007221626409e-15,1.1546319456101628e-13,1.4335674049106386e-13,3.35,revivals,unitarity,0,PASS
