N,tau_star,A1,A2a,A2b,band_mean,band_std,band_2sigma,S2a_at_taustar,S2b_at_taustar,S2b_input,p_freep_2a,p_ci95_2a,p_freep_2b,p_ci95_2b,inside_band_L1,inside_band_L2a,inside_band_L2b
4,3.0,-0.002292077705173451,0.0115100509242173,-0.03002687423395122,0.0035483645574437167,0.011436366684448461,0.022872733368896923,1.3553787468237202,0.2858813666720601,0.14830007307965556,0.05000000000210149,32949702.377836537,4.432740636567134,0.09272800090981151,True,True,False
6,3.0,0.005912610170557515,-0.007629886269700301,-0.00964796957887204,0.0007531271810593867,0.01152537172889909,0.02305074345779818,0.3784968680158112,0.2858813666720601,0.14830007307965556,0.0500000000000426,2.5503525677738352,4.432812241128953,0.09273256602690816,True,True,True
8,3.0,0.006085951998866395,-0.005696271496702841,-0.012456239923944724,0.002709204862563711,0.009368717469982787,0.018737434939965575,0.5462291958131498,0.2858813666720601,0.14830007307965556,0.6182243338739093,0.319050698426197,4.43274063809787,0.09272800141652532,True,True,True
10,3.0,0.001147233297307506,-0.0026391342307751425,-0.00540046117044077,-0.0007848238004494385,0.00237181077370653,0.00474362154741306,0.5870431007844755,0.2858813666720601,0.14830007307965556,0.05000000000104334,1.4173632968577758,4.432740638342466,0.09272800156695536,True,True,True
