run,law,p_injected,kappa_inj,p_raw,p_raw_ci95,p_offset,p_offset_ci95,tau0_offset,tau0_offset_ci95,R2_freep,gate_pass,dev_sigma,AIC_log,AIC_best_poly,best_poly
GATE,quartic (pi/24 tau^4),4.0,0.18,4.43274063809787,0.09272800141652532,4.164024098318167,0.74925222884039,0.21091291106856008,0.5833496968444959,0.9985085917951356,True,,,,
I1,m_cubic,3.0,0.09424777960769379,3.3203626499368792,0.06221185091562661,3.061304213584551,0.3666934055856595,0.27078553537824274,0.37618312796721687,0.9989276125434212,True,0.32767499168362285,,,
I2,m_quintic,5.0,0.005890486225480862,5.543459238885508,0.13058942593646944,5.372234289140723,1.3993419713588802,0.1090170175160783,0.8876206772763814,0.997995601918635,True,0.5213730608018088,,,
I3,m_log,,2.7452168326849216,0.2861461404344919,0.05039727320034289,,,0.19035806372929334,,0.9968047247782575,True,,-446.31920259388306,-394.56988242644405,M_power
