N,level,sigma,lam,theta_inv_residual,H_reality_residual,stationarity_residual,norm_drift,global_purity_dev,dSred_two_sided,dSred_pair_sum,v_theta,v_Hreal,v_stat,v_norm,v_purity,v_dSpair,excluded
4,2c,+,0.0,0.0,0.0,7.753237211109911e-17,8.881784197001252e-16,3.552713678800501e-15,0.00410756555990488,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
4,2c,-,0.0,0.0,0.0,7.753237211109911e-17,8.881784197001252e-16,3.552713678800501e-15,-0.00410756555990488,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
6,2c,+,0.0,0.0,0.0,5.714240596254552e-16,1.7763568394002505e-15,7.105427357601002e-15,0.00014624615884156755,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
6,2c,-,0.0,0.0,0.0,5.714240596254552e-16,1.7763568394002505e-15,7.105427357601002e-15,-0.00014624615884156755,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
8,2c,+,0.0,0.0,0.0,6.375531343308715e-16,2.6645352591003757e-15,1.0658141036401503e-14,0.0005924994634634029,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
8,2c,-,0.0,0.0,0.0,6.375531343308715e-16,2.6645352591003757e-15,1.0658141036401503e-14,-0.0005924994634634029,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
10,2c,+,0.0,0.0,0.0,1.393164851321336e-15,4.6629367034256575e-15,1.865174681370263e-14,6.972194032617285e-06,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
10,2c,-,0.0,0.0,0.0,1.393164851321336e-15,4.6629367034256575e-15,1.865174681370263e-14,-6.972194032617285e-06,0.0,PASS,PASS,PASS,PASS,PASS,PASS,False
