N,member,idx,f0,c1,c2,c3,s1,s2,s3,c1_sym,c3_sym,rmse
4,level1_structured,-1,0.04288657075846643,0.008798312221093832,0.011493787252780868,0.00023121159266134192,3.8639317863337615e-08,5.914404402756949e-07,2.1603858004466263e-06,-4.0089782122625127e-07,-0.00010256032414657505,2.8664406896477673e-09
4,scramble,0,0.06525912587926917,0.0053952794983718,0.010310564530120928,-0.0006175835788799818,2.7760232396908194e-08,4.249175445864039e-07,1.552118805500013e-06,,,2.0593805506095032e-09
4,scramble,1,0.07051880737105831,-0.02648440649846512,0.013650287361335795,4.83008193342125e-05,2.100172574922528e-08,3.2146711201278605e-07,1.1742399349278114e-06,,,1.5580037270151376e-09
4,scramble,2,0.08814504008012,-0.013027097692971869,0.008060941423094842,-0.00044417224173795366,1.1903861540925255e-08,1.82208835457366e-07,6.65563857375929e-07,,,8.830826984452861e-10
4,scramble,3,0.016464287325984615,-0.04658644106849185,0.026016605646736517,-0.0014444945355213388,3.194021687378136e-08,4.888993122793879e-07,1.7858283948323975e-06,,,2.369470848502001e-09
4,scramble,4,0.025132320652118966,0.11290148452195023,0.028120596966403653,0.0012404659941253852,1.3281914246869485e-08,2.033022745809408e-07,7.426129789137025e-07,,,9.853129283569211e-10
4,scramble,5,0.06419151762949261,0.010431319061797343,0.012019776376519508,-8.31882395091516e-05,2.7490584844564042e-08,4.207901304420406e-07,1.537042381395688e-06,,,2.03937686631474e-09
4,scramble,6,0.02706682793953617,-0.019618975257875784,0.016519700865598636,0.00013617466591296916,3.445662232831278e-08,5.274171752293543e-07,1.9265246315352297e-06,,,2.556149273106503e-09
4,scramble,7,0.0747374172807434,-0.007180371012086719,0.012417736242916885,7.555972195883813e-05,1.728203169725465e-08,2.6453087168966665e-07,9.662659163308646e-07,,,1.282059870518485e-09
4,scramble,8,0.09605000690112593,0.01397639826135966,0.011063078592288826,-2.4185568245558592e-05,2.5145558471455955e-08,3.848955156490309e-07,1.4059282220812316e-06,,,1.8654121229942553e-09
4,scramble,9,0.010093616111443092,0.114255830719099,-0.026195207651247176,-0.006647481809586102,1.1623677499990437e-07,1.7792014244485435e-06,6.498983214136165e-06,,,8.622973694090419e-09
4,scramble,10,0.058014995395599386,-0.0186010848566893,0.004506229941209559,0.0005341799019999323,4.968678934780573e-09,7.605407701991338e-08,2.7780675258408946e-07,,,3.6859924708879214e-10
4,scramble,11,0.02863796209164094,-0.03857241335013544,0.008801994188129705,0.0008017338648050399,2.5454435139020845e-08,3.8962339808478176e-07,1.4231980084955932e-06,,,1.888326001834515e-09
4,scramble,12,0.14106040766375036,0.021137975908348077,0.004786585262993874,-0.0003210295246833803,9.931395994682906e-09,1.5201689741062522e-07,5.552801672485877e-07,,,7.367562151291285e-10
4,scramble,13,0.014511941822863887,-0.05989076020903921,-0.009873814345493965,0.0007633988588034846,9.929546780716113e-09,1.5198859204750902e-07,5.551767747505633e-07,,,7.36619032009669e-10
4,scramble,14,0.04957467389158731,-0.012175927522481545,-0.010722126217431786,0.000718711310271575,4.5153497664649056e-08,6.911510351508263e-07,2.5246039679123257e-06,,,3.349692234310203e-09
4,scramble,15,0.08499233792904345,0.030976851782887095,0.003270620352776992,-0.0006036020118615798,8.718652463133068e-09,1.334537961991024e-07,4.874737449299963e-07,,,6.46789373135782e-10
4,scramble,16,0.09009414341788068,-0.05582511591335074,0.014015194099855126,8.781717663392683e-05,6.6731295404589054e-09,1.0214359082075278e-07,3.731053005319039e-07,,,4.950431606923211e-10
4,scramble,17,0.10887087243674504,0.007607458805201735,0.005306476312968332,0.0002845793598081443,1.3347585097546716e-08,2.0430747858001748e-07,7.462847407654034e-07,,,9.901846913412157e-10
4,scramble,18,0.11494652442438288,-0.027319458112868913,0.01576456013667851,-7.138123102389816e-05,2.7704583098009847e-08,4.240657374722648e-07,1.5490073645690415e-06,,,2.055252232007276e-09
