N,v1,v2_theta,v3_mirror,A1_repro,A1_V2,dA1,A1_thresh_5pct_band,dA1_over_band,mid_spectrum_gap,stationarity,p_level1_repro,p_level1_V2,dP1,lemma_ok,A1_ok,p_ok
4,0.0,0.0,0.0,-0.002287415149115783,-0.002292077705173451,4.662556057667688e-06,0.001143636668444846,0.0002038477860284063,3.122502256758253e-17,7.753237211109911e-17,1.5841931970412462,1.584193,1.9704124620822938e-07,True,True,True
6,0.0,0.0,0.0,0.005898992548790626,0.005912610170557515,1.3617621766888466e-05,0.0011525371728899091,0.000590767139108546,4.85722573273506e-17,5.714240596254552e-16,2.1287179225503317,2.128718,7.744966845635304e-08,True,True,True
8,0.0,0.0,0.0,0.006076873586492584,0.006085951998866395,9.078412373811351e-06,0.0009368717469982788,0.00048450667889700117,1.249000902703301e-16,6.375531343308715e-16,1.4111843910007953,1.411184,3.910007952967476e-07,True,True,True
10,0.0,0.0,0.0,0.001153932921985167,0.001147233297307506,6.699624677660929e-06,0.000237181077370653,0.0014123438412397332,6.938893903907228e-17,1.393164851321336e-15,0.9984379914207467,0.998438,8.579253307772206e-09,True,True,True
