N,tau,A1,M1_fwd,M1_bwd,S1,band_mean,band_std,A2a,M2a_fwd,M2a_bwd,S2a,A2b,M2b_fwd,M2b_bwd,S2b,S2b_input,included
4,0.5,-0.00016859808016165406,0.042791414376799716,0.04296001245696137,1.0,0.0006566945597053503,0.002223802158250826,0.001366246696272666,0.04432625915323052,0.04296001245695785,1.0358680543465035,-0.00017021124807048427,0.042789801208890886,0.04296001245696137,0.9999623015987594,0.9985284622186918,True
4,0.55,-0.00020168089052548938,0.04275833156643588,0.04296001245696137,0.9992268820545981,0.0007224136974990199,0.0024562813249230974,0.0015046782790507779,0.04446469073600863,0.04296001245695785,1.0399070568719804,-0.00020329281126526405,0.042756719645696106,0.04296001245696137,0.9999623015987593,0.9978462574183826,True
4,0.6000000000000001,-0.00023434280753648756,0.04272566964942488,0.04296001245696137,0.9984636000391126,0.0007844164462132143,0.0026760437257023454,0.0016378661915831122,0.044597878648540965,0.04296001245695785,1.0438193014756243,-0.00024249629843857423,0.042717516158522796,0.04296001245696137,0.9998091664573314,0.9969510295208277,True
4,0.6500000000000001,-0.0002694632421203838,0.042690549214840987,0.04296001245696137,0.9976428644991595,0.0008463198755789816,0.0028954322422753477,0.0017636745467749862,0.04472368700373284,0.04296001245695785,1.0476250089606496,-0.00027761003086551606,0.042682402426095854,0.04296001245696137,0.9998091664573315,0.9958028782116083,True
4,0.7000000000000002,-0.00030696653298336457,0.04265297733707799,0.04295994387006136,0.9967648407574773,0.0009081025819540385,0.003114351300765686,0.0018800428695261232,0.04483998673958387,0.04295994387005775,1.051274483964446,-0.00033268644506995876,0.0426272574249914,0.04295994387006136,0.9993969960904878,0.99435874898176,True
4,0.7500000000000002,-0.00034524688823815014,0.042612963328044214,0.042958210216282364,0.9958297464256696,0.0009697306161208143,0.0033327364336694157,0.00198647874654119,0.04494468896281945,0.04295821021627826,1.0547186924510528,-0.0003709426717208586,0.042587267544561505,0.042958210216282364,0.9993969960904878,0.9925725740464971,True
4,0.8000000000000003,-0.00038365862964308967,0.04257051873825506,0.04295417736789815,0.9948378514297388,0.001031408450870479,0.003550476104278916,0.0020816066286478,0.04503578399654141,0.04295417736789361,1.0579101531142723,-0.0004463027563363295,0.04250787461156182,0.04295417736789815,0.9985284622186916,0.990395448548004,True
4,0.8500000000000003,-0.00042221492991812576,0.04252565735544593,0.04294787228536406,0.9937894779776695,0.0010932730393080263,0.003767436917758675,0.0021635142026469115,0.045111386488005924,0.04294787228535901,1.060803977959646,-0.00048479304139163737,0.04246307924397242,0.04294787228536406,0.9985284622186916,0.9877758469797736,True
4,0.9000000000000004,-0.00046092856788609166,0.042478395200695414,0.042939323768581505,0.9926850004688321,0.0011553206860327348,0.003983552690971643,0.0022304630742148793,0.04516978684279083,0.04293932376857595,1.0633590706376628,-0.0005904439408556325,0.04234887982772587,0.042939323768581505,0.9969510295208276,0.9846598848069902,True
4,0.9500000000000004,-0.0004998118902609996,0.04242875052204993,0.04292856241231093,0.991524845344995,0.0012175081568424628,0.004198752711249489,0.0022809467051465304,0.04520950911745138,0.042928562412304846,1.0655394882287732,-0.000629175898070905,0.04229938651424003,0.04292856241231093,0.9969510295208275,0.9809916301750992,True
4,1.0000000000000004,-0.0005388767736844366,0.04237674378563992,0.04291562055932436,0.9903094908827175,0.001279652821292725,0.004412940008223002,0.0023137547515931015,0.045229375310910855,0.04291562055931775,1.0673159679210085,-0.0007779346227148806,0.04213768593660948,0.04291562055932436,0.9943587489817598,0.9767134703747672,True
4,1.0500000000000005,-0.0005781345870431095,0.0423223976642777,0.04290053225132081,0.9890394669268913,0.0013416322828791929,0.00462614321361025,0.0023310606705791853,0.045231592921892806,0.04290053225131362,1.0687389046502584,-0.0008168858559610831,0.042083646395359726,0.04290053225132081,0.9943587489817598,0.9717665373427244,True
4,1.1000000000000005,-0.0006175961541038388,0.04226573702352733,0.04288333317763117,0.9877153545652048,0.0014033571252392374,0.004838383474452597,0.0023482597442693876,0.045231592921892806,0.04288333317762342,1.0701716356375028,-0.001023539600002843,0.041859793577628326,0.04288333317763117,0.9903954485480039,0.9660911959010319,True
4,1.1500000000000006,-0.0006572717165048564,0.04220678890523646,0.042864060621741314,0.9863377857432956,0.001464820052838131,0.005049594702000324,0.002367532300159819,0.045231592921892806,0.04286406062173299,1.0716662910189094,-0.0010626489921687354,0.04180141162957258,0.042864060621741314,0.990395448548004,0.9596275976493304,True
4,1.2000000000000006,-0.0006971708971455493,0.04214558250852031,0.04284275340566586,0.9849074428203627,0.0015260130792300057,0.00525971203607956,0.0023888395162358564,0.045231592921892806,0.04284275340565695,1.0732226304559587,-0.0013436889877027625,0.0414990644179631,0.04284275340566586,0.9846598848069898,0.9523163024046885,True
4,1.2500000000000007,-0.0007373026640196401,0.0420821491681884,0.04281945183220804,0.9834250580650155,0.0015869275944753864,0.00546867154978563,0.002412141089694321,0.045231592921892806,0.042819451832198485,1.074840373316418,-0.0013828476798290815,0.04143660415237896,0.04281945183220804,0.98465988480699,0.9440989678141031,True
4,1.3000000000000007,-0.0007776752945403143,0.04201652233060478,0.042794197625145095,0.9818914130911489,0.0016475544225076303,0.005676410010490166,0.0024373952967578563,0.045231592921892806,0.04279419762513495,1.076519197995265,-0.0017560942865412071,0.04103810333860389,0.042794197625145095,0.976713470374767,0.934919106232788,True
4,1.3500000000000008,-0.0008182963404095855,0.04194873752697264,0.042767033867382225,0.9803073382336258,0.0017078638966152642,0.005882861373499768,0.0024645590545213786,0.045231592921892806,0.04276703386737143,1.0782587412269398,-0.0017951368595725617,0.04097189700780966,0.042767033867382225,0.9767134703747669,0.9247229061611623,True
4,1.4000000000000008,-0.0008591725930867031,0.041878832344035555,0.04273800493712226,0.9786737118635896,0.0017677428207258858,0.0060879454989376715,0.0024935879847820183,0.045231592921892806,0.04273800493711079,1.0800585973914996,-0.002279233714934145,0.04045877122218811,0.04273800493712226,0.9660911959010317,0.9134601134677677,True
4,1.4500000000000008,-0.0009003100499151775,0.04180684639218795,0.04270715644210313,0.9769914596432323,0.0018271662911651127,0.006291596216339966,0.0025244364798017935,0.045231592921892806,0.04270715644209101,1.0819183178175527,-0.0023179302142235375,0.04038922622787959,0.04270715644210313,0.9660911959010318,0.9010849653080042,True
